verb,x,y
cherish,43.09337414,-43.68778545
crowd,44.05186793,-63.07357281
bully,51.10997469,-46.07654737
contrast,29.59485342,-56.01319999
utter,48.70756599,-55.3377893
buzz,38.91714901,-66.5049772
silence,49.03171662,-54.92040112
hype,38.4046091,-67.08389628
dissent,49.16557916,-54.2491162
hint,28.24019501,-56.15580982
tinge,27.88399835,-56.22430469
worship,49.16651849,-55.89294682
stuff,37.34209693,-68.07792384
frequent,21.19005753,-18.87317052
direct,21.86369578,-19.25842867
free,16.9600458,-18.43281549
major,23.28719434,-19.85545771
open,16.18704803,-18.07379264
key,24.43728605,-20.22965009
ready,15.82918225,-18.96287206
secure,16.69496167,-15.82682578
clear,19.72287933,-20.66878832
single,25.3470427,-20.16603343
unlock,26.01857861,-21.38627382
welcome,14.92660195,-20.34934956
become,13.40014961,-18.8328175
equal,24.32805853,-16.52438537
appropriate,25.31047861,-17.50039802
shy,11.73859809,-18.59998748
brief,13.96545469,-22.5328603
reach,11.82144343,-17.62284628
fell,11.36222891,-19.85602768
correct,26.63855626,-18.21751094
long,16.50979605,-24.74660011
short,16.50560852,-24.69822492
exact,27.16482664,-18.41012653
approximate,28.01695643,-18.63780733
complete,21.91764185,-8.684593662
fast,16.52365659,-26.43226512
present,21.95195841,-7.926364077
array,28.59149947,-15.09910552
separate,27.49060229,-14.00941632
alternate,27.623706,-14.12524252
render,21.98092175,-6.374520421
substitute,27.09213731,-13.65731515
spare,21.15726705,-29.03019614
own,20.97617519,-28.73380039
sacrifice,20.86212653,-28.64709332
command,12.13618623,-19.15935467
power,11.36277168,-18.5195601
leverage,11.58850012,-18.42405763
favor,15.04432939,-17.70028402
combat,11.59088607,-13.08053391
lead,11.81040305,-12.28589649
wield,9.265522993,-18.3165947
exercise,9.351989689,-20.33581716
pose,12.3072141,-10.58441995
object,12.30717675,-10.36302006
predicate,12.26689143,-10.14622253
handicap,20.77965225,-33.20773873
size,17.97437374,-34.24562778
stroke,20.73349255,-34.36306736
structure,13.7843235,-37.10878878
care,28.36912586,-9.582464942
undergo,21.41426841,2.301021608
book,52.51383074,-42.83421309
stunt,52.88608299,-47.20324058
film,52.33736293,-46.85737979
catalogue,51.81263653,-41.843345
catalog,51.7871655,-41.80937647
script,51.62923313,-46.99516313
headline,53.16971454,-42.01766672
subtitle,55.91080434,-42.63736628
piece,50.80198121,-47.33642501
print,50.50589498,-40.37347035
critique,52.9723514,-47.9004832
reprise,53.80681391,-41.17591932
puzzle,48.51903955,-48.92289893
eclipse,53.80287457,-40.83048153
star,52.2530291,-52.8457569
tape,48.58708778,-38.57356569
videotape,48.54884278,-38.53768586
plot,46.63777836,-50.66018321
remark,60.9449248,-39.16453257
code,59.87682063,-41.63688892
phrase,63.1161185,-42.21438333
parody,63.76782439,-47.63525434
word,63.22492666,-42.00943655
verse,64.11429127,-47.78398272
preview,51.78111994,-34.21098995
quip,63.96284858,-40.35839583
