verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
front,4,-2.175489114,-74.41247927,10.7509322,4.287947618,-78.4053226,2.960519387,10.88160577
row,4,-2.724668551,-74.59085902,10.64677071,4.287947618,-78.4053226,2.960519387,11.08175877
tower,4,10.6919471,-72.56776938,-4.131393129,4.287947618,-78.4053226,2.960519387,11.19747562
park,4,-0.319798221,-73.39244028,-6.15846267,4.287947618,-78.4053226,2.960519387,11.38051601
transport,4,8.665517741,-86.66757964,-3.556149536,4.287947618,-78.4053226,2.960519387,11.39714813
station,4,11.82908802,-73.12665864,-3.984995716,4.287947618,-78.4053226,2.960519387,11.53140373
entrance,4,8.496599934,-67.59423218,2.579501066,4.287947618,-78.4053226,2.960519387,11.60765288
exit,4,8.504983335,-67.57518272,2.5905321,4.287947618,-78.4053226,2.960519387,11.62807855
orbit,4,14.43666024,-74.21942996,-2.992706569,4.287947618,-78.4053226,2.960519387,12.48835315
swarm,4,1.150120603,-88.97276268,8.996893008,4.287947618,-78.4053226,2.960519387,12.56799724
probe,4,14.768038,-74.45220672,-2.776683079,4.287947618,-78.4053226,2.960519387,12.58470944
shelter,4,-1.066009388,-73.11403542,-7.512296586,4.287947618,-78.4053226,2.960519387,12.89738152
pool,4,-6.257207685,-70.93875871,2.654539131,4.287947618,-78.4053226,2.960519387,12.92453096
space,4,9.131405003,-70.12614466,-5.752754572,4.287947618,-78.4053226,2.960519387,12.95858827
hatch,4,-7.469009152,-73.29988741,5.039938901,4.287947618,-78.4053226,2.960519387,12.9852026
floor,4,-6.705181324,-71.50731127,4.283786106,4.287947618,-78.4053226,2.960519387,13.04540069
ground,4,-6.892764588,-71.81909506,4.582431893,4.287947618,-78.4053226,2.960519387,13.07735902
resort,4,-2.361437073,-76.12141784,-8.475582873,4.287947618,-78.4053226,2.960519387,13.42441703
rail,4,11.41629905,-79.54479701,-8.451545903,4.287947618,-78.4053226,2.960519387,13.50359323
room,4,-6.609406981,-69.8574765,2.747389141,4.287947618,-78.4053226,2.960519387,13.85147771
retreat,4,-2.332325986,-76.16656715,-9.366686541,4.287947618,-78.4053226,2.960519387,14.17039359
craft,4,14.83718369,-72.05506288,-4.429544893,4.287947618,-78.4053226,2.960519387,14.36054422
lobby,4,-10.32495251,-73.67446766,-0.546247447,4.287947618,-78.4053226,2.960519387,15.75484853
house,4,-6.4414818,-66.50643884,0.930156804,4.287947618,-78.4053226,2.960519387,16.15012268
drill,4,-9.443027417,-70.33218956,5.845128051,4.287947618,-78.4053226,2.960519387,16.18752976
train,4,13.77409942,-80.27933661,-10.34944364,4.287947618,-78.4053226,2.960519387,16.45156893
